X,Y,Nama Kota,DeathNo,icon_url
124.323299182865,-9.77569441067401,TTS,,./0.png
123.90714305332,-10.1203008898763,Kupang,,./0.png
124.878174022259,-9.52162014210958,Malaka,,./0.png
124.520425770544,-9.53184152072999,TTU,,./0.png
121.286089535658,-8.66740492883264,Nagakeo,,./0.png
124.752597084922,-8.27899254125714,Alor,"5118",./0.png
122.828057510394,-8.36660435800349,Flores Timur,"30000",./0.png
120.17341946298,-9.87352760604077,Sumba Timur,"56000",./0.png
120.071205676775,-8.6002358693271,Manggarai Barat,"5520",./0.png
119.408276263395,-9.65157767028334,Sumba Barat,,./0.png
122.258580701543,-8.65572335326646,Sikka,"63000",./0.png
119.717838015899,-9.61945333747634,Sumba Tengah,,./0.png
120.421652943761,-8.60607665711019,Manggarai,"40000",./0.png
121.002811328178,-8.70244965553118,Ngada,,./0.png
123.502668499341,-8.46005696253294,Lembata,"20000",./0.png
123.210629110186,-10.6766359262157,Rote,,./0.png
120.696169969566,-8.60315626321865,Manggarai Timur,,./0.png
119.186326327637,-9.5260007329469,Sumba Barat Daya,,./0.png
121.753352558305,-8.7491759577959,Ende,,./0.png
121.864327526184,-10.5276958377469,Sabu Raijua,,./0.png
123.57567834663,-10.1976913280023,Kota Kupang,,./0.png
124.917599339795,-9.21059819266003,Belu,,./0.png
